,0,1,2,3,4,5,6,7,8,9,10,11
156,,,,,,,,,,X,2,3
157,,,,X,,,,,,O,0,7
158,,,,X,,,,O,,X,2,4
159,,,,X,X,,,O,,O,0,8
160,,,,X,X,,,O,O,X,2,2
161,,,X,X,X,,,O,O,O,0,5
162,,,X,X,X,O,,O,O,X,2,1
163,,X,X,X,X,O,,O,O,O,0,0
164,O,X,X,X,X,O,,O,O,X,2,6
165,,,,,,,,,,X,2,8
166,,,,,,,,,X,O,0,2
167,,,O,,,,,,X,X,2,4
168,,,O,,X,,,,X,O,0,7
169,,,O,,X,,,O,X,X,2,3
170,,,O,X,X,,,O,X,O,0,0
171,O,,O,X,X,,,O,X,X,2,1
172,O,X,O,X,X,,,O,X,O,0,6
173,O,X,O,X,X,,O,O,X,X,2,5
174,,,,,,,,,,X,2,5
175,,,,,,X,,,,O,0,3
176,,,,O,,X,,,,X,2,1
177,,X,,O,,X,,,,O,0,6
178,,X,,O,,X,O,,,X,2,2
179,,X,X,O,,X,O,,,O,0,7
180,,X,X,O,,X,O,O,,X,2,8
181,,,,,,,,,,X,1,7
182,,,,,,,,X,,O,1,6
183,,,,,,,O,X,,X,1,5
184,,,,,,X,O,X,,O,1,0
185,O,,,,,X,O,X,,X,1,8
186,O,,,,,X,O,X,X,O,1,2
187,O,,O,,,X,O,X,X,X,1,3
188,O,,O,X,,X,O,X,X,O,1,4
189,O,,O,X,O,X,O,X,X,X,1,1
190,,,,,,,,,,X,2,1
191,,X,,,,,,,,O,0,8
192,,X,,,,,,,O,X,2,2
193,,X,X,,,,,,O,O,0,3
194,,X,X,O,,,,,O,X,2,4
195,,X,X,O,X,,,,O,O,0,7
196,,X,X,O,X,,,O,O,X,2,0
197,,,,,,,,,,X,2,6
198,,,,,,,X,,,O,0,2
199,,,O,,,,X,,,X,2,3
200,,,O,X,,,X,,,O,0,5
201,,,O,X,,O,X,,,X,2,8
202,,,O,X,,O,X,,X,O,0,7
203,,,O,X,,O,X,O,X,X,2,4
204,,,O,X,X,O,X,O,X,O,0,1
205,,O,O,X,X,O,X,O,X,X,2,0
206,,,,,,,,,,X,2,0
207,X,,,,,,,,,O,0,7
208,X,,,,,,,O,,X,2,2
209,X,,X,,,,,O,,O,0,8
210,X,,X,,,,,O,O,X,2,3
211,X,,X,X,,,,O,O,O,0,5
212,X,,X,X,,O,,O,O,X,2,1
213,,,,,,,,,,X,1,5
214,,,,,,X,,,,O,1,8
215,,,,,,X,,,O,X,1,6
216,,,,,,X,X,,O,O,1,2
217,,,O,,,X,X,,O,X,1,1
218,,X,O,,,X,X,,O,O,1,3
219,,X,O,O,,X,X,,O,X,1,0
220,X,X,O,O,,X,X,,O,O,1,4
221,X,X,O,O,O,X,X,,O,X,1,7
222,,,,,,,,,,X,2,0
223,X,,,,,,,,,O,0,6
224,X,,,,,,O,,,X,2,8
225,X,,,,,,O,,X,O,0,1
226,X,O,,,,,O,,X,X,2,7
227,X,O,,,,,O,X,X,O,0,3
228,X,O,,O,,,O,X,X,X,2,5
229,X,O,,O,,X,O,X,X,O,0,2
230,X,O,O,O,,X,O,X,X,X,2,4
231,,,,,,,,,,X,1,3
232,,,,X,,,,,,O,1,4
233,,,,X,O,,,,,X,1,1
234,,X,,X,O,,,,,O,1,8
235,,X,,X,O,,,,O,X,1,2
236,,X,X,X,O,,,,O,O,1,0
237,O,X,X,X,O,,,,O,X,1,5
238,O,X,X,X,O,X,,,O,O,1,7
239,O,X,X,X,O,X,,O,O,X,1,6
240,,,,,,,,,,X,1,1
241,,X,,,,,,,,O,1,0
242,O,X,,,,,,,,X,1,8
243,O,X,,,,,,,X,O,1,6
244,O,X,,,,,O,,X,X,1,7
245,O,X,,,,,O,X,X,O,1,2
246,O,X,O,,,,O,X,X,X,1,3
247,O,X,O,X,,,O,X,X,O,1,4
248,O,X,O,X,O,,O,X,X,X,1,5
249,,,,,,,,,,X,1,1
250,,X,,,,,,,,O,1,2
251,,X,O,,,,,,,X,1,6
252,,X,O,,,,X,,,O,1,3
253,,X,O,O,,,X,,,X,1,4
254,,X,O,O,X,,X,,,O,1,7
255,,X,O,O,X,,X,O,,X,1,8
256,,X,O,O,X,,X,O,X,O,1,0
257,O,X,O,O,X,,X,O,X,X,1,5
258,,,,,,,,,,X,2,1
259,,X,,,,,,,,O,0,0
260,O,X,,,,,,,,X,2,7
261,O,X,,,,,,X,,O,0,2
262,O,X,O,,,,,X,,X,2,4
263,,,,,,,,,,X,1,4
264,,,,,X,,,,,O,1,0
265,O,,,,X,,,,,X,1,2
266,O,,X,,X,,,,,O,1,5
267,O,,X,,X,O,,,,X,1,8
268,O,,X,,X,O,,,X,O,1,1
269,O,O,X,,X,O,,,X,X,1,7
270,O,O,X,,X,O,,X,X,O,1,6
271,O,O,X,,X,O,O,X,X,X,1,3
272,,,,,,,,,,X,2,6
273,,,,,,,X,,,O,0,5
274,,,,,,O,X,,,X,2,0
275,X,,,,,O,X,,,O,0,7
276,X,,,,,O,X,O,,X,2,3
